House Number,Street Name,Community,Zip Code,Unit Type,Unit,Floor Type,Floor,Building Type,Building,DA/PSA,OVALS Address ID,Primary_Term_Address,FAC_ADDR,Working TN Status
"6830","BARNEY RD","HOUSTON","77092","","","","","","","1170","=""00000HTJF0""","F 4300 SOUTHERLAND","6830 BARNEY RD",""
"6845","BARNEY RD","HOUSTON","77092","","","","","","","1170","=""00000HTJ21""","4212 SOUTHERLAND","6845 BARNEY RD",""
"6868","BARNEY RD","HOUSTON","77092","","","","","","","1170","=""00000HTICS""","F 4300 SOUTHERLAND","6868 BARNEY RD",""
"6915","BARNEY RD","HOUSTON","77092","","","","","","","1170","=""00000HT9WD""","R 6915 BARNEY","6915 BARNEY RD",""
"6934","BARNEY RD","HOUSTON","77092","UNIT","130","","","","","1170","=""00000HTIJ3""","I 6935 BARNEY","6934 BARNEY RD UNIT 130",""
"6935","BARNEY RD","HOUSTON","77092","UNIT","000","","","","","1170","=""00000HTK1C""","I 6935 BARNEY","6935 BARNEY RD UNIT 000",""
"6935","BARNEY RD","HOUSTON","77092","UNIT","100","","","","","1170","=""00000HTJY0""","I 6935 BARNEY","6935 BARNEY RD UNIT 100",""
"6935","BARNEY RD","HOUSTON","77092","SUIT","110","FLR","1","","","1170","=""00000HTJY1""","I 6935 BARNEY","6935 BARNEY RD SUIT 110 FLR 1",""
"6935","BARNEY RD","HOUSTON","77092","SUIT","110","","","","","1170","=""00000HTJ8I""","I 6935 BARNEY","6935 BARNEY RD SUIT 110","Y"
"6935","BARNEY RD","HOUSTON","77092","SUIT","120","","","","","1170","=""00000HTJ63""","I 6935 BARNEY","6935 BARNEY RD SUIT 120",""
"6935","BARNEY RD","HOUSTON","77092","UNIT","125","","","","","1170","=""00000HTHXS""","I 6935 BARNEY","6935 BARNEY RD UNIT 125",""
"6935","BARNEY RD","HOUSTON","77092","SUIT","130","","","","","1170","=""00000HTK1M""","I 6935 BARNEY","6935 BARNEY RD SUIT 130",""
"6935","BARNEY RD","HOUSTON","77092","SUIT","140","","","","","1170","=""00000HTJDJ""","I 6935 BARNEY","6935 BARNEY RD SUIT 140",""
"6935","BARNEY RD","HOUSTON","77092","SUIT","150","","","","","1170","=""00000HTJ5N""","I 6935 BARNEY","6935 BARNEY RD SUIT 150",""
"6935","BARNEY RD","HOUSTON","77092","UNIT","160","","","","","1170","=""00000HTJ0L""","I 6935 BARNEY","6935 BARNEY RD UNIT 160",""
"6935","BARNEY RD","HOUSTON","77092","UNIT","831","","","","","1170","=""00000HTJKT""","I 6935 BARNEY","6935 BARNEY RD UNIT 831",""
"6935","BARNEY RD","HOUSTON","77092","","","","","","","1170","=""00000HTIAM""","I 6935 BARNEY","6935 BARNEY RD",""
"6938","BARNEY RD","HOUSTON","77092","","","","","","","1170","=""00000HTI7Q""","F 6938 BARNEY","6938 BARNEY RD",""
"7001","BARNEY RD","HOUSTON","77092","","","","","","","1170","=""00000HTKED""","I 7001 BARNEY","7001 BARNEY RD",""
"7043","BARNEY RD","HOUSTON","77092","","","","","","","1170","=""00000HTJL7""","F 7045 BARNEY","7043 BARNEY RD",""
"7047","BARNEY RD","HOUSTON","77092","","","","","","","1170","=""00000HTI6V""","F 7045 BARNEY","7047 BARNEY RD",""
"7049","BARNEY RD","HOUSTON","77092","","","","","","","1170","=""00000HTK2H""","F 7045 BARNEY","7049 BARNEY RD",""
"6906","COTTON DR","HOUSTON","77092","","","","","","","1170","=""00000HTHXG""","R 6925 COTTON","6906 COTTON DR",""
"6921","COTTON DR","HOUSTON","77092","","","","","","","1170","=""00000HTCE8""","R 6925 COTTON","6921 COTTON DR",""
"6922","COTTON DR","HOUSTON","77092","","","","","","","1170","=""00000HTK39""","R 6925 COTTON","6922 COTTON DR",""
"6923","COTTON DR","HOUSTON","77092","","","","","","","1170","=""00000HTI2E""","R 6925 COTTON","6923 COTTON DR",""
"6925","COTTON DR","HOUSTON","77092","","","","","","","1170","=""00000HTJ0Z""","R 6925 COTTON","6925 COTTON DR",""
"6929","COTTON DR","HOUSTON","77092","","","","","","","1170","=""00000HTIUD""","R 6925 COTTON","6929 COTTON DR",""
"6933","COTTON DR","HOUSTON","77092","","","","","","","1170","=""00000HTIRU""","R 6925 COTTON","6933 COTTON DR",""
"6937","COTTON DR","HOUSTON","77092","","","","","","","1170","=""00000HTK19""","6941 COTTON","6937 COTTON DR",""
"6942","COTTON DR","HOUSTON","77092","UNIT","COIN","","","","","1170","=""00000HTJE8""","I 6942 COTTON","6942 COTTON DR UNIT COIN",""
"6942","COTTON DR","HOUSTON","77092","RM","TELCO","FLR","GROUND","BLDG","MAIN","1170","=""00000HTISJ""","I 6942 COTTON","6942 COTTON DR RM TELCO FLR GROUND BLDG MAIN",""
"6942","COTTON DR","HOUSTON","77092","","","","","","","1170","=""00000HTJKM""","I 6942 COTTON","6942 COTTON DR",""
"6959","COTTON DR","HOUSTON","77092","","","","","","","1170","=""00000HTIUH""","F 6945 COTTON","6959 COTTON DR",""
"7000","COTTON DR","HOUSTON","77092","","","","","","","1170","=""00000HTII9""","F 7015 COTTON","7000 COTTON DR",""
"7001","COTTON DR","HOUSTON","77092","","","","","","","1170","=""00000HTI82""","F 7015 COTTON","7001 COTTON DR",""
"7017","COTTON DR","HOUSTON","77092","","","","","","","1170","=""00000HTKC4""","F 7015 COTTON","7017 COTTON DR",""
"7020","COTTON DR","HOUSTON","77092","","","","","","","1170","=""00000HTIEL""","F 7015 COTTON","7020 COTTON DR",""
"7021","COTTON DR","HOUSTON","77092","","","","","","","1170","=""00000HTIAR""","F 7023 COTTON","7021 COTTON DR",""
"7038","COTTON DR","HOUSTON","77092","","","","","","","1170","=""00000HTJ1I""","F 7023 COTTON","7038 COTTON DR",""
"4405","DAYCO","HOUSTON","77092","","","","","","","1170","=""Not SAG Valid""","F 7023 COTTON","4405 DAYCO",""
"4099","DAYCO ST","HOUSTON","77092","","","","","","","1170","=""00000HTI5D""","F 4118 DAYCO","4099 DAYCO ST",""
"4101","DAYCO ST","HOUSTON","77092","","","","","","","1170","=""00000HTIO7""","F 4118 DAYCO","4101 DAYCO ST",""
"4110","DAYCO ST","HOUSTON","77092","","","","","","","1170","=""00000HTKGY""","F 4118 DAYCO","4110 DAYCO ST",""
"4118","DAYCO ST","HOUSTON","77092","","","","","","","1170","=""00000HTJPI""","F 4118 DAYCO","4118 DAYCO ST",""
"4124","DAYCO ST","HOUSTON","77092","SUIT","A","","","","","1170","=""00000HTK4E""","4124 DAYCO WW BLDG A","4124 DAYCO ST SUIT A",""
"4124","DAYCO ST","HOUSTON","77092","UNIT","B","","","","","1170","=""00000HTI73""","4124 DAYCO WW BLDG B","4124 DAYCO ST UNIT B",""
"4124","DAYCO ST","HOUSTON","77092","UNIT","C","","","","","1170","=""00000HTJK2""","4124 DAYCO WW BLDG C","4124 DAYCO ST UNIT C",""
"4124","DAYCO ST","HOUSTON","77092","UNIT","D","","","","","1170","=""00000HTIUA""","4124 DAYCO WW BLDG D","4124 DAYCO ST UNIT D",""
"4124","DAYCO ST","HOUSTON","77092","UNIT","E","","","","","1170","=""00000HTID5""","4124 DAYCO WW BLDG E","4124 DAYCO ST UNIT E",""
"4124","DAYCO ST","HOUSTON","77092","","","","","BLDG","C","1170","=""00000HTJXF""","4124 DAYCO WW BLDG C","4124 DAYCO ST     BLDG C",""
"4124","DAYCO ST","HOUSTON","77092","","","","","BLDG","E","1170","=""00000HTID5""","4124 DAYCO WW BLDG E","4124 DAYCO ST     BLDG E",""
"4124","DAYCO ST","HOUSTON","77092","","","","","BLDG","A","1170","=""00000HTJY3""","4124 DAYCO WW BLDG A","4124 DAYCO ST     BLDG A",""
"4124","DAYCO ST","HOUSTON","77092","","","","","BLDG","B","1170","=""00000HTKAK""","4124 DAYCO WW BLDG B","4124 DAYCO ST     BLDG B",""
"4124-D","DAYCO ST","HOUSTON","77092","","","","","BLDG","D","1170","=""00000HTJY4""","4124 DAYCO WW BLDG D","4124-D DAYCO ST     BLDG D",""
"4130","DAYCO ST","HOUSTON","77092","","","","","","","1170","=""00000HTIHV""","I 4130 DAYCO","4130 DAYCO ST",""
"4134","DAYCO ST","HOUSTON","77092","","","","","","","1170","=""00000HTIES""","F 4134 DAYCO","4134 DAYCO ST",""
"4135","DAYCO ST","HOUSTON","77092","UNIT","A","","","","","1170","=""00000HTJF7""","F 4130 DAYCO","4135 DAYCO ST UNIT A",""
"4135","DAYCO ST","HOUSTON","77092","","","","","","","1170","=""00000HTIH6""","F 4130 DAYCO","4135 DAYCO ST",""
"4201","DAYCO ST","HOUSTON","77092","","","","","","","1170","=""00000HTJSN""","F 4202 DAYCO","4201 DAYCO ST",""
"4212","DAYCO ST","HOUSTON","77092","","","","","","","1170","=""00000HTHB6""","F 4202 DAYCO","4212 DAYCO ST",""
"4214","DAYCO ST","HOUSTON","77092","","","","","","","1170","=""00000HTI2V""","I 4130 DAYCO","4214 DAYCO ST",""
"4300","DAYCO ST","HOUSTON","77092","","","","","","","1170","=""00000HTK2I""","F 4318 DAYCO","4300 DAYCO ST",""
"4302","DAYCO ST","HOUSTON","77092","","","","","","","1170","=""00000HTKEQ""","F 4318 DAYCO","4302 DAYCO ST",""
"4310","DAYCO ST","HOUSTON","77092","","","","","","","1170","=""00000HTJQ3""","F 4318 DAYCO","4310 DAYCO ST",""
"4313","DAYCO ST","HOUSTON","77092","","","","","","","1170","=""00000HTILY""","F 4318 DAYCO","4313 DAYCO ST",""
"4314","DAYCO ST","HOUSTON","77092","","","","","","","1170","=""00000HTK5F""","F 4318 DAYCO","4314 DAYCO ST",""
"4321","DAYCO ST","HOUSTON","77092","","","","","","","1170","=""00000HTKAB""","F 4318 DAYCO","4321 DAYCO ST",""
"4326","DAYCO ST","HOUSTON","77092","","","","","","","1170","=""00000HTJQB""","F 6945 COTTON","4326 DAYCO ST",""
"4337","DAYCO ST","HOUSTON","77092","","","","","","","1170","=""00000HTK2F""","F 7015 COTTON","4337 DAYCO ST",""
"12230","HEMPSTEAD HWY","HOUSTON","77092","","","","","","","1170","=""00000HTHWB""","S 12230 HEMPSTEAD HWY","12230 HEMPSTEAD HWY","Y"
"12238","HEMPSTEAD HWY","HOUSTON","77092","UNIT","COIN","","","","","1170","=""00000HTK3O""","F 12236 HEMPSTEAD HWY","12238 HEMPSTEAD HWY UNIT COIN",""
"12238","HEMPSTEAD HWY","HOUSTON","77092","","","","","","","1170","=""00000HTIRT""","F 12316 HEMPSTEAD HWY TERM B","12238 HEMPSTEAD HWY",""
"12310","HEMPSTEAD HWY","HOUSTON","77092","UNIT","A","","","","","1170","=""00000HTJLC""","F 12316 HEMPSTEAD HWY TERM B","12310 HEMPSTEAD HWY UNIT A",""
"12310","HEMPSTEAD HWY","HOUSTON","77092","UNIT","COIN","","","","","1170","=""00000HTIIP""","F 12316 HEMPSTEAD HWY TERM B","12310 HEMPSTEAD HWY UNIT COIN",""
"12310","HEMPSTEAD HWY","HOUSTON","77092","","","","","","","1170","=""00000HTK18""","F 12316 HEMPSTEAD HWY TERM B","12310 HEMPSTEAD HWY",""
"12314","HEMPSTEAD HWY","HOUSTON","77092","","","","","","","1170","=""00000HTID7""","F 12316 HEMPSTEAD HWY TERM B","12314 HEMPSTEAD HWY",""
