House Number,Street Name,Community,Zip Code,Unit Type,Unit,Floor Type,Floor,Building Type,Building,Term Addr,DA/PSA,CLLI8,NPANNX,ADDR_ID,NSP_INQ_ID,LU_ID,DA_Ready,Granite Qual - Bit 15 BO Type,Op Ready,OVALS Qual,Forced Ind,Working TN Status
"900","ABSHER ST","GARDENDALE","35071","","","","","","","F 900 ABSHER ST","3165","GRDLALNM","205631","=""00001B5X0C""","=""M1051e4d9ef""","=""14FR3""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"906","ABSHER ST","GARDENDALE","35071","","","","","","","F 900 ABSHER ST","3165","GRDLALNM","205631","=""00001B5SV3""","=""M1051e4ea38""","=""1HFR3""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"912","ABSHER ST","GARDENDALE","35071","","","","","","","F 900 ABSHER ST","3165","GRDLALNM","205631","=""00001B5RT1""","=""M1051e4e195""","=""1AER3""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"200","ARDELLA CIR","GARDENDALE","35071","","","","","","","R 213 WATSON WAY","3165","GRDLALNM","205631","=""00001B5VCU""","=""M1051e4f322""","=""1OMR3""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"201","ARDELLA CIR","GARDENDALE","35071","","","","","","","R 201 ARDELLA CIR","3165","GRDLALNM","205631","=""00001B5YC0""","=""M1051e4d67d""","=""11OR3""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"204","ARDELLA CIR","GARDENDALE","35071","","","","","","","R 213 WATSON WAY","3165","GRDLALNM","205631","=""00001B5Y9Z""","=""M1051e4ee2a""","=""1KMR3""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"205","ARDELLA CIR","GARDENDALE","35071","","","","","","","R 201 ARDELLA CIR","3165","GRDLALNM","205631","=""00001B5YFI""","=""M1051e4ea82""","=""1HNR3""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"208","ARDELLA CIR","GARDENDALE","35071","","","","","","","R 213 WATSON WAY","3165","GRDLALNM","205631","=""00001B5XRM""","=""D173108429e""","=""1RVB1.K""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"212","ARDELLA CIR","GARDENDALE","35071","","","","","","","R 205 WATSON WAY","3165","GRDLALNM","205631","=""00001B5RPD""","=""M1051e4ee26""","=""1KLR3""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"213","ARDELLA CIR","GARDENDALE","35071","","","","","","","R 201 ARDELLA CIR","3165","GRDLALNM","205631","=""00001B5YP4""","=""D1731083f1f""","=""15C81.7""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"215","ARDELLA CIR","GARDENDALE","35071","","","","","","","R 215 ARDELLA CIR","3165","GRDLALNM","205631","=""00001B5VZ1""","=""M1051e4ea8c""","=""1HOR3""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
