House Number,Street Name,Community,Zip Code,Unit Type,Unit,Floor Type,Floor,Building Type,Building,Term Addr,DA/PSA,CLLI8,NPANNX,ADDR_ID,NSP_INQ_ID,LU_ID,DA_Ready,Granite Qual - Bit 15 BO Type,Op Ready,OVALS Qual,Forced Ind,Working TN Status
"5742","ALEXANDER DR","ST FRANCISVILLE","70775","","","","","","","F LOT 2 ALEXANDER DR","210102","SFVLLAMA","225635","=""00001FHS53""","=""T1073b3c723""","=""1JI34.G""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"5758","ALEXANDER DR","ST FRANCISVILLE","70775","","","","","","","F LOT 2 ALEXANDER DR","210102","SFVLLAMA","225635","=""00001FHU3X""","=""T1073b3c798""","=""1KAE4.6""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"5775","ALEXANDER DR","ST FRANCISVILLE","70775","","","","","","","F LOT 22 ALEXANDER DR","210102","SFVLLAMA","225635","=""00001FHU88""","=""T1073b3c596""","=""1G9V3.K""","FTTN","Not Ready","FTTN","IP-RT","Dynamic",""
"5826","ALEXANDER DR","ST FRANCISVILLE","70775","","","","","","","F LOT 24 ALEXANDER DR","210102","SFVLLAMA","225635","=""00001FHTW3""","=""T1073b3bec6""","=""136F.5""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"5839","ALEXANDER DR","ST FRANCISVILLE","70775","","","","","","","F LOT 24 ALEXANDER DR","210102","SFVLLAMA","225635","=""00001FHR5G""","=""T1073b3cc48""","=""1T77.5""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"5844","ALEXANDER DR","ST FRANCISVILLE","70775","","","","","","","F LOT 22 ALEXANDER DR","210102","SFVLLAMA","225635","=""00001FHSAD""","=""T1073b3c4cc""","=""1EP04.4""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"5849","ALEXANDER DR","ST FRANCISVILLE","70775","","","","","","","F LOT 22 ALEXANDER DR","210102","SFVLLAMA","225635","=""000103FV9K""","=""N15bae6cf046""","=""1T2K3.7""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"9218","CATALPA CT","ST FRANCISVILLE","70775","","","","","","","F 5680 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHTIK""","=""T1073b3c972""","=""1NMQ""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"9222","CATALPA CT","ST FRANCISVILLE","70775","","","","","","","F 5680 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHRQY""","=""T1073b3c034""","=""15V51""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5668","CYPRESS","ST FRANCISVILLE","70775","","","","","","","F 5658 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHTOZ""","=""N173329726de""","=""1KGL3.5""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5668","CYPRESS","ST FRANCISVILLE","70775","","","","","","","F 5658 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHTOZ""","=""N173473098a2""","=""1HC04.8""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5614","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5732 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHSHX""","=""T1073b3c704""","=""1JBC.H""","FTTN","Not Ready","FTTN","FTTN-BP","Dynamic",""
"5621","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5732 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHTAQ""","=""T1073b3c585""","=""1G6B2""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
"5622","CYPRESS ST","ST FRANCISVILLE","70775","","","","","","","F 5732 CYPRESS ST","210102","SFVLLAMA","225635","=""00001FHUQA""","=""T1073b3cc74""","=""1THC.L""","FTTN","Not Ready","FTTN","FTTN","Dynamic",""
