House Number,Street Name,Community,Zip Code,Unit Type,Unit,Floor Type,Floor,Building Type,Building,DA/PSA,OVALS Address ID,Primary_Term_Address,FAC_ADDR,Working TN Status
"1033","E OAKLAND PARK BLVD","OKLND PK","33334","RM","COMPUTER","FLR","2","","","420263","=""00000PI6ER""","I 1033-1.1 E OAKLAND PARK BLVD","1033 E OAKLAND PARK BLVD RM COMPUTER FLR 2",""
"1033","E OAKLAND PARK BLVD","OKLND PK","33334","RM","TELCO","FLR","1","","","420263","=""00000PIF21""","I 1033-1.1 E OAKLAND PARK BLVD","1033 E OAKLAND PARK BLVD RM TELCO FLR 1",""
"1033","E OAKLAND PARK BLVD","OKLND PK","33334","","","","","","","420263","=""00000PIAHO""","I 1033-1.1 E OAKLAND PARK BLVD","1033 E OAKLAND PARK BLVD","Y"
"1035","E OAKLAND PARK BLVD","OKLND PK","33334","","","","","","","420263","=""00000PIEJ1""","I 1033-1.1 E OAKLAND PARK BLVD","1035 E OAKLAND PARK BLVD",""
"1061","E OAKLAND PARK BLVD","OKLND PK","33334","SUIT","132","","","","","420263","=""00000PI9I5""","F 1097 E OAKLAND PARK BLVD","1061 E OAKLAND PARK BLVD SUIT 132",""
"1061","E OAKLAND PARK BLVD","OKLND PK","33334","SUIT","227","","","","","420263","=""00000PIFI8""","F 1097 E OAKLAND PARK BLVD","1061 E OAKLAND PARK BLVD SUIT 227",""
"1061","E OAKLAND PARK BLVD","OKLND PK","33334","","","","","","","420263","=""00000PI6P7""","F 1097 E OAKLAND PARK BLVD","1061 E OAKLAND PARK BLVD",""
"1097","E OAKLAND PARK BLVD","OKLND PK","33334","","","","","","","420263","=""00000PI8GB""","F 1097 E OAKLAND PARK BLVD","1097 E OAKLAND PARK BLVD",""
"1097","E OAKLAND PARK BLVD","OKLND PK","33334","","","","","","","420263","=""00000PI8GB""","F 1097 E OAKLAND PARK BLVD","1097 E OAKLAND PARK BLVD",""
"1099","E OAKLAND PARK BLVD","OKLND PK","33334","","","","","","","420263","=""00000PIAO6""","I 1099 E OAKLAND PARK BLVD","1099 E OAKLAND PARK BLVD","Y"
"593","E OAKLAND PARK BLVD","OKLND PK","33334","UNIT","OUTSIDE","","","","","420263","=""00000PICKJ""","3160 NE 6TH AV","593 E OAKLAND PARK BLVD UNIT OUTSIDE",""
"617","E OAKLAND PARK BLVD","OKLND PK","33334","","","","","","","420263","=""00000PI97A""","3160 NE 6TH AV","617 E OAKLAND PARK BLVD",""
"630","E OAKLAND PARK BLVD","OKLND PK","33334","APT","103","","","","","420263","=""00000PI5BI""","3160 NE 6TH AV","630 E OAKLAND PARK BLVD APT 103",""
"639","E OAKLAND PARK BLVD","OKLND PK","33334","APT","206","","","BLDG","D","420263","=""00000PIA8W""","3160 NE 6TH AV","639 E OAKLAND PARK BLVD APT 206   BLDG D",""
