House Number,Street Name,Community,Zip Code,Unit Type,Unit,Floor Type,Floor,Building Type,Building,DA/PSA,OVALS Address ID,Primary_Term_Address,FAC_ADDR,Working TN Status
"1801","CHARRO","FRIENDSWOOD","77546","","","","","","","3327B","=""000013ADG3""","R 1801 CHARRO","1801 CHARRO",""
"1802","CHARRO","FRIENDSWOOD","77546","","","","","","","3327B","=""000013AI4J""","ENC R 1802 CHARRO","1802 CHARRO",""
"1803","CHARRO","FRIENDSWOOD","77546","","","","","","","3327B","=""000013AOT3""","ENC R 1803 CHARRO","1803 CHARRO",""
"1804","CHARRO","FRIENDSWOOD","77546","","","","","","","3327B","=""000013AJ9J""","ENC R 1804 CHARRO","1804 CHARRO",""
"1805","CHARRO","FRIENDSWOOD","77546","","","","","","","3327B","=""000013ACG8""","ENC R 1804 PRESIDEO","1805 CHARRO",""
"1806","CHARRO","FRIENDSWOOD","77546","","","","","","","3327B","=""000013AKNS""","ENC R 1806 CHARRO","1806 CHARRO",""
"1807","CHARRO","FRIENDSWOOD","77546","","","","","","","3327B","=""000013AEQE""","ENC R 1807 CHARRO","1807 CHARRO",""
"1808","CHARRO","FRIENDSWOOD","77546","","","","","","","3327B","=""000013APNU""","ENC R 1808 CHARRO","1808 CHARRO",""
"1809","CHARRO","FRIENDSWOOD","77546","","","","","","","3327B","=""000013AR1Q""","ENC R 1809 CHARRO","1809 CHARRO",""
"1810","CHARRO","FRIENDSWOOD","77546","","","","","","","3327B","=""000013AIC6""","ENC R 1810 CHARRO","1810 CHARRO",""
"1811","CHARRO","FRIENDSWOOD","77546","","","","","","","3327B","=""000013AMAA""","ENC R 1811 CHARRO","1811 CHARRO",""
"1812","CHARRO","FRIENDSWOOD","77546","","","","","","","3327B","=""000013AHJE""","R 1812 CHARRO","1812 CHARRO",""
"1601","COUNTRY CLUB DR","FRIENDSWOOD","77546","","","","","","","3327B","=""000013AP9Z""","R 1602 ORLANDO","1601 COUNTRY CLUB DR",""
"1603","COUNTRY CLUB DR","FRIENDSWOOD","77546","","","","","","","3327B","=""000013AL6H""","R 1602 ORLANDO","1603 COUNTRY CLUB DR",""
"1605","COUNTRY CLUB DR","FRIENDSWOOD","77546","","","","","","","3327B","=""000013ANXV""","R 1606 ORLANDO","1605 COUNTRY CLUB DR",""
"1607","COUNTRY CLUB DR","FRIENDSWOOD","77546","","","","","","","3327B","=""000013AEAA""","R 1606 ORLANDO","1607 COUNTRY CLUB DR",""
"1609","COUNTRY CLUB DR","FRIENDSWOOD","77546","","","","","","","3327B","=""000013AG8R""","R 1610 ORLANDO","1609 COUNTRY CLUB DR",""
