House Number,Street Name,Community,Zip Code,Unit Type,Unit,Floor Type,Floor,Building Type,Building,DA/PSA,OVALS Address ID,Primary_Term_Address,FAC_ADDR,Working TN Status
1300,HIATUS RD,DAVIE,33330,UNIT,CEV,,,,,420405,00000HJVQ2,RLA 1300 SW 112TH AV,1300 HIATUS RD UNIT CEV,Y
1300,HIATUS RD,DAVIE,33330,UNIT,MCU,,,,,420405,00000HJXY8,RLA 1300 SW 112TH AV,1300 HIATUS RD UNIT MCU,
1300,HIATUS RD,DAVIE,33330,UNIT,MUX,,,,,420405,00000HJV87,MUX 1300 SW 112TH AV,1300 HIATUS RD UNIT MUX,
1300,HIATUS RD,DAVIE,33330,UNIT,RLA,,,,,420405,00000HJV61,RLA 1300 SW 112TH AV,1300 HIATUS RD UNIT RLA,
1300,SW 112TH AV,PLTN,33323,UNIT,RLA,,,,,420405,Not SAG Valid,RLA 1300 SW 112TH AV,1300 SW 112TH AV UNIT RLA,
1400,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HIZHT,R 1404 SW 110TH WAY,1400 SW 110TH WAY,
1401,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HIS33,11000 N HARMONY LAKE CIR,1401 SW 110TH WAY,
1402,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HIYSU,R 1404 SW 110TH WAY,1402 SW 110TH WAY,
1403,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HIYSC,11000 N HARMONY LAKE CIR,1403 SW 110TH WAY,
1404,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HIVQU,R 1404 SW 110TH WAY,1404 SW 110TH WAY,
1405,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HITS1,R 1407 SW 110TH WAY,1405 SW 110TH WAY,
1406,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HJ6XT,R 1404 SW 110TH WAY,1406 SW 110TH WAY,
1407,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HIVIZ,R 1407 SW 110TH WAY,1407 SW 110TH WAY,
1410,SW 109TH WAY,DAVIE,33324,UNIT,OUTSIDE,,,,,420405,00000HIZ6D,R 1500 W HARMONY LAKE CIR,1410 SW 109TH WAY UNIT OUTSIDE,
1410,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HJ00Q,R 1410 SW 110TH WAY,1410 SW 110TH WAY,
1411,SW 109TH WAY,DAVIE,33324,,,,,,,420405,00000HIXNN,R 1413 SW 109TH WAY,1411 SW 109TH WAY,
1411,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HJ4TE,R 1407 SW 110TH WAY,1411 SW 110TH WAY,
1412,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HIRZ8,R 1410 SW 110TH WAY,1412 SW 110TH WAY,
1413,SW 109TH WAY,DAVIE,33324,,,,,,,420405,00000HIZWG,R 1413 SW 109TH WAY,1413 SW 109TH WAY,
1413,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HIXHI,R 1407 SW 110TH WAY,1413 SW 110TH WAY,
1414,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HJ089,R 1414 SW 110TH WAY,1414 SW 110TH WAY,
1415,SW 109TH WAY,DAVIE,33324,,,,,,,420405,00000HIUTG,R 1413 SW 109TH WAY,1415 SW 109TH WAY,
1415,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HIUB8,R 1415 SW 110TH WAY,1415 SW 110TH WAY,
1416,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HIUK8,R 1414 SW 110TH WAY,1416 SW 110TH WAY,
1417,SW 109TH WAY,DAVIE,33324,,,,,,,420405,00000HIUJZ,R 1413 SW 109TH WAY,1417 SW 109TH WAY,
1417,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HJ4TP,R 1415 SW 110TH WAY,1417 SW 110TH WAY,
1420,SW 109TH WAY,DAVIE,33324,,,,,,,420405,00000HIZHN,R 1420 SW 109TH WAY,1420 SW 109TH WAY,
1420,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HISJG,R 1420 SW 110TH WAY,1420 SW 110TH WAY,
1420,W HARMONY LAKE CIR,DAVIE,33324,,,,,,,420405,00000HIUV2,R 11120 N HARMONY LAKE CIR,1420 W HARMONY LAKE CIR,
1421,SW 109TH WAY,DAVIE,33324,,,,,,,420405,00000HJ5R8,R 1413 SW 109TH WAY,1421 SW 109TH WAY,
1421,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HIWF3,R 1421 SW 110TH WAY,1421 SW 110TH WAY,
1422,SW 109TH WAY,DAVIE,33324,,,,,,,420405,00000HIYZW,R 1420 SW 109TH WAY,1422 SW 109TH WAY,
1422,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HIYN9,R 1420 SW 110TH WAY,1422 SW 110TH WAY,
1422,W HARMONY LAKE CIR,DAVIE,33324,,,,,,,420405,00000HIZ0L,R 11120 N HARMONY LAKE CIR,1422 W HARMONY LAKE CIR,
1423,SW 109TH WAY,DAVIE,33324,,,,,,,420405,00000HJ0FS,R 1413 SW 109TH WAY,1423 SW 109TH WAY,
1423,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HITZG,R 1421 SW 110TH WAY,1423 SW 110TH WAY,
1424,SW 109TH WAY,DAVIE,33324,,,,,,,420405,00000HITAE,R 1424 SW 109TH WAY,1424 SW 109TH WAY,
1424,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HIUNE,R 1424 SW 110TH WAY,1424 SW 110TH WAY,
1424,W HARMONY LAKE CIR,DAVIE,33324,,,,,,,420405,00000HJ1ED,R 1424 W HARMONY LAKE CIR,1424 W HARMONY LAKE CIR,
1425,SW 109TH WAY,DAVIE,33324,,,,,,,420405,00000HJ582,R 1425.1 SW 109TH WAY,1425 SW 109TH WAY,
1425,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HJ03R,R 1425 SW 110TH WAY,1425 SW 110TH WAY,
1426,SW 109TH WAY,DAVIE,33324,,,,,,,420405,00000HIRU4,R 1424 SW 109TH WAY,1426 SW 109TH WAY,
1426,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HISQZ,R 1424 SW 110TH WAY,1426 SW 110TH WAY,
1426,W HARMONY LAKE CIR,DAVIE,33324,,,,,,,420405,00000HIULV,R 1424 W HARMONY LAKE CIR,1426 W HARMONY LAKE CIR,
1427,SW 109TH WAY,DAVIE,33324,,,,,,,420405,00000HJ0JH,R 1425.1 SW 109TH WAY,1427 SW 109TH WAY,
1427,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HIRR4,R 1425 SW 110TH WAY,1427 SW 110TH WAY,
1430,SW 109TH WAY,DAVIE,33324,,,,,,,420405,00000HIULI,R 1430 SW 109TH WAY,1430 SW 109TH WAY,
1432,SW 109TH WAY,DAVIE,33324,,,,,,,420405,00000HJ1DK,R 1430 SW 109TH WAY,1432 SW 109TH WAY,
1434,SW 109TH WAY,DAVIE,33324,,,,,,,420405,00000HIW47,R 1434 SW 109TH WAY,1434 SW 109TH WAY,
1436,SW 109TH WAY,DAVIE,33324,,,,,,,420405,00000HISN4,R 1434 SW 109TH WAY,1436 SW 109TH WAY,
1500,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HIY8W,R 1424 SW 110TH WAY,1500 SW 110TH WAY,
1500,W HARMONY LAKE CIR,DAVIE,33324,,,,,,,420405,00000HITMX,R 1500 W HARMONY LAKE CIR,1500 W HARMONY LAKE CIR,
1501,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HIYKZ,R 1501 SW 110TH WAY,1501 SW 110TH WAY,
1502,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HJ0PJ,R 1424 SW 110TH WAY,1502 SW 110TH WAY,
1502,W HARMONY LAKE CIR,DAVIE,33324,,,,,,,420405,00000HIS3X,R 1500 W HARMONY LAKE CIR,1502 W HARMONY LAKE CIR,
1503,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HJ05L,R 1501 SW 110TH WAY,1503 SW 110TH WAY,
1504,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HJ063,R 1504 SW 110TH WAY,1504 SW 110TH WAY,
1504,W HARMONY LAKE CIR,DAVIE,33324,,,,,,,420405,00000HIY5M,R 1504 W HARMONY LAKE CIR,1504 W HARMONY LAKE CIR,
1505,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HJ0O5,R 1505 SW 110TH WAY,1505 SW 110TH WAY,
1506,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HIUX1,R 1504 SW 110TH WAY,1506 SW 110TH WAY,
1506,W HARMONY LAKE CIR,DAVIE,33324,,,,,,,420405,00000HJ0GF,R 1504 W HARMONY LAKE CIR,1506 W HARMONY LAKE CIR,
1507,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HIWZ5,R 1505 SW 110TH WAY,1507 SW 110TH WAY,
1510,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HJ6N2,R 1510 SW 110TH WAY,1510 SW 110TH WAY,
1511,W HARMONY LAKE CIR,DAVIE,33324,,,,,,,420405,00000HJ0RP,R 1513 W HARMONY LAKE CIR,1511 W HARMONY LAKE CIR,
1512,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HIZKN,R 1510 SW 110TH WAY,1512 SW 110TH WAY,
1513,W HARMONY LAKE CIR,DAVIE,33324,,,,,,,420405,00000HIWPG,R 1513 W HARMONY LAKE CIR,1513 W HARMONY LAKE CIR,
1514,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HIT8I,R 1514 SW 110TH WAY,1514 SW 110TH WAY,
1515,W HARMONY LAKE CIR,DAVIE,33324,,,,,,,420405,00000HIYRH,R 1523 W HARMONY LAKE CIR,1515 W HARMONY LAKE CIR,
1516,SW 110TH WAY,DAVIE,33324,,,,,,,420405,00000HIRRH,R 1514 SW 110TH WAY,1516 SW 110TH WAY,
1517,W HARMONY LAKE CIR,DAVIE,33324,,,,,,,420405,00000HIUIV,R 1523 W HARMONY LAKE CIR,1517 W HARMONY LAKE CIR,
1521,W HARMONY LAKE CIR,DAVIE,33324,,,,,,,420405,00000HIU2N,R 1523 W HARMONY LAKE CIR,1521 W HARMONY LAKE CIR,
