House Number,Street Name,Community,Zip Code,Unit Type,Unit,Floor Type,Floor,Building Type,Building,DA/PSA,OVALS Address ID,Primary_Term_Address,FAC_ADDR,Working TN Status
"6500","NE 21ST AV","FT L","33308","","","","","","","102460","=""00000CKY0G""","R 6501 NE 21ST TER","6500 NE 21ST AV",""
"6510","NE 21ST AV","FT L","33308","","","","","","","102460","=""00000CKWVX""","R 6501 NE 21ST TER","6510 NE 21ST AV",""
"6520","NE 21ST AV","FT L","33308","","","","","","","102460","=""00000CKZM9""","R 6521 NE 21ST TER","6520 NE 21ST AV",""
"6530","NE 21ST AV","FT L","33308","","","","","","","102460","=""00000CL8YS""","R 6521 NE 21ST TER","6530 NE 21ST AV",""
"6540","NE 21ST AV","FT L","33308","","","","","","","102460","=""00000CKVFT""","R 6541 NE 21ST TER","6540 NE 21ST AV",""
"6550","NE 21ST AV","FT L","33308","","","","","","","102460","=""00000CL15O""","R 6541 NE 21ST TER","6550 NE 21ST AV",""
"6600","NE 21ST AV","FT L","33308","","","","","","","102460","=""00000CKVXW""","R 6601 NE 21ST TER","6600 NE 21ST AV",""
"6610","NE 21ST AV","FT L","33308","","","","","","","102460","=""00000CKV7J""","R 6601 NE 21ST TER","6610 NE 21ST AV",""
"6620","NE 21ST AV","FT L","33308","","","","","","","102460","=""00000CL12A""","R 6621 NE 21ST TER","6620 NE 21ST AV",""
"6630","NE 21ST AV","FT L","33308","","","","","","","102460","=""00000CL3AV""","R 6621 NE 21ST TER","6630 NE 21ST AV",""
"6400","NE 21ST DR","FT L","33308","","","","","","","102460","=""00000CL0R8""","R 6400 NE 21ST DR","6400 NE 21ST DR",""
"6410","NE 21ST DR","FT L","33308","","","","","","","102460","=""00000CL2BD""","R 6400 NE 21ST DR","6410 NE 21ST DR",""
"6420","NE 21ST DR","FT L","33308","","","","","","","102460","=""00000CKZVB""","R 6420 NE 21ST DR","6420 NE 21ST DR",""
"6500","NE 21ST DR","FT L","33308","","","","","","","102460","=""00000CKWUQ""","R 6420 NE 21ST DR","6500 NE 21ST DR",""
"6501","NE 21ST DR","FT L","33308","","","","","","","102460","=""00000CL0AH""","R 6500 NE 21ST LN","6501 NE 21ST DR",""
"6510","NE 21ST DR","FT L","33308","","","","","","","102460","=""00000CL3F7""","R 6510 NE 21ST DR","6510 NE 21ST DR",""
"6511","NE 21ST DR","FT L","33308","SUIT","1700","","","","","102460","=""00000CKX3W""","R 6500 NE 21ST LN","6511 NE 21ST DR SUIT 1700",""
"6511","NE 21ST DR","FT L","33308","","","","","","","102460","=""00000CL1LE""","R 6500 NE 21ST LN","6511 NE 21ST DR",""
"6520","NE 21ST DR","FT L","33308","","","","","","","102460","=""00000CKYWT""","R 6510 NE 21ST DR","6520 NE 21ST DR",""
"6521","NE 21ST DR","FT L","33308","","","","","","","102460","=""00000CKVHT""","R 6520 NE 21ST LN","6521 NE 21ST DR",""
"6530","NE 21ST DR","FT L","33308","","","","","","","102460","=""00000CL0AY""","R 6530 NE 21ST DR","6530 NE 21ST DR",""
"6531","NE 21ST DR","FT L","33308","","","","","","","102460","=""00000CKVJP""","R 6520 NE 21ST LN","6531 NE 21ST DR",""
"6540","NE 21ST DR","FT L","33308","","","","","","","102460","=""00000CKVNQ""","R 6530 NE 21ST DR","6540 NE 21ST DR",""
"6550","NE 21ST DR","FT L","33308","","","","","","","102460","=""00000CKVKY""","R 6550 NE 21ST DR","6550 NE 21ST DR",""
"6600","NE 21ST DR","FT L","33308","","","","","","","102460","=""00000CL1RJ""","R 6611 NE 21ST RD","6600 NE 21ST DR",""
"6601","NE 21ST DR","FT L","33308","","","","","","","102460","=""00000CKXDU""","R 6600 NE 21ST LN","6601 NE 21ST DR",""
"6610","NE 21ST DR","FT L","33308","","","","","","","102460","=""00000CL00R""","R 6611 NE 21ST RD","6610 NE 21ST DR",""
"6611","NE 21ST DR","FT L","33308","","","","","","","102460","=""00000CL1JE""","R 6600 NE 21ST LN","6611 NE 21ST DR",""
"6621","NE 21ST DR","FT L","33308","","","","","","","102460","=""00000CL6X9""","R 6610 NE 21ST LN","6621 NE 21ST DR",""
"6700","NE 21ST DR","FT L","33308","","","","","","","102460","=""00000CL6O8""","R 6700 NE 21ST DR","6700 NE 21ST DR",""
"6701","NE 21ST DR","FT L","33308","","","","","","","102460","=""00000CL8G0""","R 6630 NE 21ST LN","6701 NE 21ST DR",""
"6710","NE 21ST DR","FT L","33308","","","","","","","102460","=""00000CKWF9""","R 6700 NE 21ST DR","6710 NE 21ST DR",""
"6711","NE 21ST DR","FT L","33308","","","","","","","102460","=""00000CL14J""","R 6630 NE 21ST LN","6711 NE 21ST DR",""
"6720","NE 21ST DR","FT L","33308","","","","","","","102460","=""00000CKWAH""","R 6730 NE 21ST DR","6720 NE 21ST DR",""
"6721","NE 21ST DR","FT L","33308","","","","","","","102460","=""00000CKVSW""","R 6660 NE 21ST LN","6721 NE 21ST DR",""
"6730","NE 21ST DR","FT L","33308","","","","","","","102460","=""00000CL6WS""","R 6730 NE 21ST DR","6730 NE 21ST DR",""
"6500","NE 21ST LN","FT L","33308","","","","","","","102460","=""00000CKYNT""","R 6500 NE 21ST LN","6500 NE 21ST LN",""
"6501","NE 21ST LN","FT L","33308","","","","","","","102460","=""00000CKYP3""","R 6511 NE 21ST LN","6501 NE 21ST LN",""
"6510","NE 21ST LN","FT L","33308","","","","","","","102460","=""00000CKYS0""","R 6500 NE 21ST LN","6510 NE 21ST LN",""
"6511","NE 21ST LN","FT L","33308","","","","","","","102460","=""00000CKZ6Q""","R 6511 NE 21ST LN","6511 NE 21ST LN",""
"6520","NE 21ST LN","FT L","33308","","","","","","","102460","=""00000CL4QE""","R 6520 NE 21ST LN","6520 NE 21ST LN",""
"6521","NE 21ST LN","FT L","33308","","","","","","","102460","=""00000CKWHI""","R 6521 NE 21ST LN","6521 NE 21ST LN",""
"6530","NE 21ST LN","FT L","33308","","","","","","","102460","=""00000CKY4U""","R 6600 NE 21ST LN","6530 NE 21ST LN","Y"
"6600","NE 21ST LN","FT L","33308","","","","","","","102460","=""00000CKYYZ""","R 6610 NE 21ST LN","6600 NE 21ST LN",""
"6601","NE 21ST LN","FT L","33308","","","","","","","102460","=""00000CKVWO""","R 6601 NE 21ST LN","6601 NE 21ST LN",""
"6610","NE 21ST LN","FT L","33308","","","","","","","102460","=""00000CKZAL""","R 6610 NE 21ST LN","6610 NE 21ST LN",""
"6611","NE 21ST LN","FT L","33308","","","","","","","102460","=""00000CKZRV""","R 6601 NE 21ST LN","6611 NE 21ST LN",""
"6620","NE 21ST LN","FT L","33308","","","","","","","102460","=""00000CKWZX""","R 6630 NE 21ST LN","6620 NE 21ST LN","Y"
"6621","NE 21ST LN","FT L","33308","","","","","","","102460","=""00000CL3F9""","R 6621 NE 21ST LN","6621 NE 21ST LN",""
"6630","NE 21ST LN","FT L","33308","","","","","","","102460","=""00000CLASS""","R 6630 NE 21ST LN","6630 NE 21ST LN",""
"6640","NE 21ST LN","FT L","33308","","","","","","","102460","=""00000CL071""","R 6640 NE 21ST LN","6640 NE 21ST LN",""
"6641","NE 21ST LN","FT L","33308","","","","","","","102460","=""00000CKX7M""","R 6621 NE 21ST LN","6641 NE 21ST LN","Y"
"6650","NE 21ST LN","FT L","33308","","","","","","","102460","=""00000CL6EH""","R 6650 NE 21ST LN","6650 NE 21ST LN",""
"6651","NE 21ST LN","FT L","33308","","","","","","","102460","=""00000CL16X""","R 6651 NE 21ST LN","6651 NE 21ST LN",""
"6660","NE 21ST LN","FT L","33308","","","","","","","102460","=""00000CL0TT""","R 6660 NE 21ST LN","6660 NE 21ST LN",""
"6400","NE 21ST RD","FT L","33308","","","","","","","102460","=""00000CL5T6""","R 6411 NE 22ND AV","6400 NE 21ST RD",""
"6401","NE 21ST RD","FT L","33308","","","","","","","102460","=""00000CKXX7""","R 6400 NE 21ST DR","6401 NE 21ST RD",""
"6410","NE 21ST RD","FT L","33308","","","","","","","102460","=""00000CKVRW""","R 6411 NE 22ND AV","6410 NE 21ST RD",""
"6411","NE 21ST RD","FT L","33308","","","","","","","102460","=""00000CL0P3""","R 6400 NE 21ST DR","6411 NE 21ST RD",""
"6420","NE 21ST RD","FT L","33308","","","","","","","102460","=""00000CL6M6""","R 6431 NE 22ND AV","6420 NE 21ST RD",""
"6421","NE 21ST RD","FT L","33308","","","","","","","102460","=""00000CLA7P""","R 6420 NE 21ST DR","6421 NE 21ST RD",""
"6430","NE 21ST RD","FT L","33308","","","","","","","102460","=""00000CKVPX""","R 6431 NE 22ND AV","6430 NE 21ST RD",""
"6431","NE 21ST RD","FT L","33308","","","","","","","102460","=""00000CL2IE""","R 6420 NE 21ST DR","6431 NE 21ST RD",""
"6500","NE 21ST RD","FT L","33308","","","","","","","102460","=""00000CKX63""","R 6505 NE 22ND AV","6500 NE 21ST RD",""
"6501","NE 21ST RD","FT L","33308","","","","","","","102460","=""00000CLATU""","R 6510 NE 21ST DR","6501 NE 21ST RD",""
"6510","NE 21ST RD","FT L","33308","","","","","","","102460","=""00000CL5TX""","R 6510 NE 22ND AV","6510 NE 21ST RD",""
"6511","NE 21ST RD","FT L","33308","","","","","","","102460","=""00000CL1H9""","R 6510 NE 21ST DR","6511 NE 21ST RD",""
"6520","NE 21ST RD","FT L","33308","","","","","","","102460","=""00000CL31R""","R 6510 NE 22ND AV","6520 NE 21ST RD",""
"6521","NE 21ST RD","FT L","33308","","","","","","","102460","=""00000CL8N6""","R 6530 NE 21ST DR","6521 NE 21ST RD",""
"6530","NE 21ST RD","FT L","33308","","","","","","","102460","=""00000CKX2J""","R 6541 NE 22ND AV","6530 NE 21ST RD",""
"6531","NE 21ST RD","FT L","33308","","","","","","","102460","=""00000CL05I""","R 6530 NE 21ST DR","6531 NE 21ST RD",""
"6540","NE 21ST RD","FT L","33308","","","","","","","102460","=""00000CKYP5""","R 6551 NE 22ND AV","6540 NE 21ST RD",""
"6543","NE 21ST RD","FT L","33308","","","","","","","102460","=""00000CL3LE""","R 6550 NE 21ST DR","6543 NE 21ST RD","Y"
"6551","NE 21ST RD","FT L","33308","","","","","","","102460","=""00000CL034""","R 6550 NE 21ST DR","6551 NE 21ST RD",""
"6601","NE 21ST RD","FT L","33308","","","","","","","102460","=""00000CKVDP""","R 6611 NE 21ST RD","6601 NE 21ST RD",""
"6611","NE 21ST RD","FT L","33308","","","","","","","102460","=""00000CLAUQ""","R 6611 NE 21ST RD","6611 NE 21ST RD","Y"
"6701","NE 21ST RD","FT L","33308","","","","","","","102460","=""00000CKXQ2""","R 6700 NE 21ST DR","6701 NE 21ST RD",""
"6711","NE 21ST RD","FT L","33308","","","","","","","102460","=""00000CKV7B""","R 6700 NE 21ST DR","6711 NE 21ST RD",""
"6721","NE 21ST RD","FT L","33308","","","","","","","102460","=""00000CL0X7""","R 6730 NE 21ST DR","6721 NE 21ST RD",""
"6731","NE 21ST RD","FT L","33308","","","","","","","102460","=""00000CKYE1""","R 6730 NE 21ST DR","6731 NE 21ST RD",""
"6741","NE 21ST RD","FT L","33308","","","","","","","102460","=""00000CL25D""","R 2145 NE 67TH ST","6741 NE 21ST RD",""
"6750","NE 21ST RD","FT L","33308","APT","101","","","","","102460","=""00000CKWLK""","F 6750 NE 21ST RD","6750 NE 21ST RD APT 101",""
"6750","NE 21ST RD","FT L","33308","APT","102","","","","","102460","=""00000CKVUW""","F 6750 NE 21ST RD","6750 NE 21ST RD APT 102",""
"6750","NE 21ST RD","FT L","33308","APT","103","","","","","102460","=""00000CLA9Y""","F 6750 NE 21ST RD","6750 NE 21ST RD APT 103",""
"6750","NE 21ST RD","FT L","33308","APT","104","","","","","102460","=""00000CKVJU""","F 6750 NE 21ST RD","6750 NE 21ST RD APT 104",""
"6750","NE 21ST RD","FT L","33308","APT","105","","","","","102460","=""00000CKW13""","6750 NE 21ST RD","6750 NE 21ST RD APT 105",""
"6750","NE 21ST RD","FT L","33308","APT","106","","","","","102460","=""00000CKYYM""","F 6750 NE 21ST RD","6750 NE 21ST RD APT 106",""
"6750","NE 21ST RD","FT L","33308","APT","107","","","","","102460","=""00000CL0YE""","F 6750 NE 21ST RD","6750 NE 21ST RD APT 107",""
"6750","NE 21ST RD","FT L","33308","APT","108","","","","","102460","=""00000CKZ4F""","F 6750 NE 21ST RD","6750 NE 21ST RD APT 108",""
"6750","NE 21ST RD","FT L","33308","APT","109","","","","","102460","=""00000CL6LV""","F 6750 NE 21ST RD","6750 NE 21ST RD APT 109",""
"6750","NE 21ST RD","FT L","33308","APT","110","","","","","102460","=""00000CL0NZ""","F 6750 NE 21ST RD","6750 NE 21ST RD APT 110",""
