House Number,Street Name,Community,Zip Code,Unit Type,Unit,Floor Type,Floor,Building Type,Building,DA/PSA,OVALS Address ID,Primary_Term_Address,FAC_ADDR,Working TN Status
79,HIGHWAY 82 E,TUSCALOOSA,35405,UNIT,RLA,,,,,350202,00000KO38I,RLA F 4200 BEARMONT RD,79 HIGHWAY 82 E UNIT RLA,
3200,BEAR CREEK RD E,DUNCANVILLE,35456,,,,,,,350202,00000KOA13,P 15W2N1 BEARMONT RD,3200 BEAR CREEK RD E,
3201,ARGONNE FOREST LN,DUNCANVILLE,35456,,,,,,,350202,00000KO9SS,P 15W2N10W2 BEARMONT RD,3201 ARGONNE FOREST LN,
3210,ARGONNE FOREST LN,DUNCANVILLE,35456,,,,,,,350202,00000KO7YJ,P 15W2N8W2 BEARMONT RD,3210 ARGONNE FOREST LN,
3211,ARGONNE FOREST LN,DUNCANVILLE,35456,,,,,,,350202,00000KO8J9,P 15W2N8W2 BEARMONT RD,3211 ARGONNE FOREST LN,
3230,ARGONNE FOREST LN,DUNCANVILLE,35456,,,,,,,350202,00000KO6TF,P 15W2N8W2 BEARMONT RD,3230 ARGONNE FOREST LN,
3231,ARGONNE FOREST LN,DUNCANVILLE,35456,,,,,,,350202,00000KO5IG,P 15W2N8W2 BEARMONT RD,3231 ARGONNE FOREST LN,
3251,ARGONNE FOREST LN,DUNCANVILLE,35456,,,,,,,350202,00000KO8IX,P 15W2N8II BEARMONT RD,3251 ARGONNE FOREST LN,
3315,ARGONNE FOREST LN,DUNCANVILLE,35456,,,,,,,350202,00000KO5XU,P 15W2N8II BEARMONT RD,3315 ARGONNE FOREST LN,
3335,ARGONNE FOREST LN,DUNCANVILLE,35456,,,,,,,350202,00000KO7BK,P 15W2N8E1I 1-2 BEARMONT RD,3335 ARGONNE FOREST LN,
3351,ARGONNE FOREST LN,DUNCANVILLE,35456,,,,,,,350202,00000KO5SG,P 15W2N8E2II BREARMONT RD,3351 ARGONNE FOREST LN,
3400,ARGONNE FOREST LN,DUNCANVILLE,35456,,,,,,,350202,00000KOAC7,P 15W2N8E2I BRADLEY RD,3400 ARGONNE FOREST LN,
3401,BEARMONT LN,DUNCANVILLE,35456,,,,,,,350202,000014K3XO,PED 12W3 BEARMONT RD,3401 BEARMONT LN,
3401,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KO4TQ,PED 12W3 BEARMONT RD,3401 BEARMONT RD,
3404,BEAR CREEK RD E,DUNCANVILLE,35456,,,,,,,350202,00000KO7K7,P 15E1 BEARMONT RD,3404 BEAR CREEK RD E,
3406,ARGONNE RD,DUNCANVILLE,35456,,,,,,,350202,00000KO48G,P 15W2N10W4 BEARMONT RD,3406 ARGONNE RD,
3407,ARGONNE RD,DUNCANVILLE,35456,,,,,,,350202,00000KO49I,P 15W2N10W4 BEARMONT RD,3407 ARGONNE RD,
3410,BEARMONT LN,DUNCANVILLE,35456,,,,,,,350202,00000KO7HA,PED 12W2 BEARMONT RD,3410 BEARMONT LN,
3411,ARGONNE FOREST LN,DUNCANVILLE,35456,,,,,,,350202,00000KO6H0,P 15W2N8E2I 1-2 BEARMONT RD,3411 ARGONNE FOREST LN,
3411,BEARMONT LN,DUNCANVILLE,35456,,,,,,,350202,00000KO9KM,PED 12W3 BEARMONT RD,3411 BEARMONT LN,
3415,BEARMONT LN,DUNCANVILLE,35456,,,,,,,350202,00000KO91Z,PED 12W3 BEARMONT RD,3415 BEARMONT LN,
3420,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KO4AX,P 14 BEARMONT RD,3420 BEARMONT RD,
3423,ARGONNE FOREST LN,DUNCANVILLE,35456,,,,,,,350202,00000KO5X7,P 15W2N8E3II BEARMONT RD,3423 ARGONNE FOREST LN,
3424,ARGONNE RD,DUNCANVILLE,35456,,,,,,,350202,00000KO7TI,P 15W2N10W4 BEARMONT RD,3424 ARGONNE RD,
3425,ARGONNE RD,DUNCANVILLE,35456,,,,,,,350202,00000KO5XB,P 15W2N10W4 BEARMONT RD,3425 ARGONNE RD,
3434,ARGONNE FOREST LN,DUNCANVILLE,35456,,,,,,,350202,00000KO7LD,P 15W2N8E3II BEARMONT RD,3434 ARGONNE FOREST LN,
3435,ARGONNE FOREST LN,DUNCANVILLE,35456,,,,,,,350202,00000KO4JO,P 15W2N8E3I BRADLEY RD,3435 ARGONNE FOREST LN,
3440,ARGONNE RD,DUNCANVILLE,35456,,,,,,,350202,00000KO8TL,P 15W2N10W4 BEARMONT RD,3440 ARGONNE RD,
3440,BEARMONT LN,DUNCANVILLE,35456,,,,,,,350202,0000P8SF9Q,PED 12W3 BEARMONT RD,3440 BEARMONT LN,
3440,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KO5IL,PED 12W3 BEARMONT RD,3440 BEARMONT RD,DUPLIca
3445,BEARMONT LN,DUNCANVILLE,35456,,,,,,,350202,00000KO3O0,PED 12W3 BEARMONT RD,3445 BEARMONT LN,
3460,ARGONNE RD,DUNCANVILLE,35456,,,,,,,350202,00000KO4IH,P 15W2N10W2 BEARMONT RD,3460 ARGONNE RD,
3471,BEARMONT LN,DUNCANVILLE,35456,,,,,,,350202,00000KO6FZ,PED 12W2 BEARMONT RD,3471 BEARMONT LN,
3475,BEAR CREEK RD E,DUNCANVILLE,35456,,,,,,,350202,00000KO52E,P 15E1 BEARMONT RD,3475 BEAR CREEK RD E,
3475,BEARMONT LN,DUNCANVILLE,35456,,,,,,,350202,00000KO62A,PED 12W2 BEARMONT RD,3475 BEARMONT LN,
3500,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KOA07,P 13 BEARMONT RD,3500 BEARMONT RD,
3501,BEARMONT LN,DUNCANVILLE,35456,,,,,,,350202,00000KO8L6,PED 12W2 BEARMONT RD,3501 BEARMONT LN,
3502,ARGONNE RD,DUNCANVILLE,35456,,,,,,,350202,00000KO4GF,P 15W2N10 BEARMONT RD,3502 ARGONNE RD,
3505,ARGONNE FOREST LN,DUNCANVILLE,35456,,,,,,,350202,00000KO8B8,P 15W2N8E4 BEARMONT RD,3505 ARGONNE FOREST LN,
3510,ARGONNE FOREST LN,DUNCANVILLE,35456,,,,,,,350202,00000KO7H5,P 15W2N8E5 BEARMONT RD,3510 ARGONNE FOREST LN,
3510,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KO3UE,P 13 BEARMONT RD,3510 BEARMONT RD,
3515,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KO8K7,P 12 BEARMONT RD,3515 BEARMONT RD,
3521,ARGONNE FOREST LN,DUNCANVILLE,35456,,,,,,,350202,00000KO456,P 15W2N8E5 BEARMONT RD,3521 ARGONNE FOREST LN,
3522,ARGONNE RD,DUNCANVILLE,35456,,,,,,,350202,00000KO9SB,P 15W2N10 BEARMONT RD,3522 ARGONNE RD,
3524,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KO6TL,PED 12W1 BEARMONT RD,3524 BEARMONT RD,
3530,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KO5XK,PED 12W1 BEARMONT RD,3530 BEARMONT RD,
3538,ARGONNE FOREST LN,DUNCANVILLE,35456,,,,,,,350202,00000KO51K,P 15W2N8E6 BEARMONT RD,3538 ARGONNE FOREST LN,
3540,ARGONNE FOREST LN,DUNCANVILLE,35456,,,,,,,350202,00000KO3U5,P 15W2N8E6 BEARMONT RD,3540 ARGONNE FOREST LN,
3541,ARGONNE FOREST LN,DUNCANVILLE,35456,,,,,,,350202,00000KO4I7,P 15W2N8E6 BEARMONT RD,3541 ARGONNE FOREST LN,
3541,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KO3UB,P 11 1-3 BEARMONT RD,3541 BEARMONT RD,
3550,ARGONNE FOREST LN,DUNCANVILLE,35456,,,,,,,350202,00000KO81E,P 15W2N8E6 BEARMONT RD,3550 ARGONNE FOREST LN,
3551,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KO4JV,P 11 BEARMONT RD,3551 BEARMONT RD,
3552,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KO9JZ,P 11 1-2 BEARMONT RD,3552 BEARMONT RD,
3561,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KO8Y5,P 10 BEARMONT RD,3561 BEARMONT RD,
3580,BEARMONT RD,DUNCANVILLE,35456,UNIT,HOUSE,,,,,350202,00000KO7TY,P 11 BEARMONT RD,3580 BEARMONT RD UNIT HOUSE,
3580,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KO8AZ,P 11 BEARMONT RD,3580 BEARMONT RD,
3600,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KOA12,P 10 BEARMONT RD,3600 BEARMONT RD,
3601,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KO49H,P 10 BEARMONT RD,3601 BEARMONT RD,
3610,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KO6TR,P 10 BEARMONT RD,3610 BEARMONT RD,
3611,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KO41N,P 10 BEARMONT RD,3611 BEARMONT RD,
3615,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KO7K8,P 9 BEARMONT RD,3615 BEARMONT RD,
3617,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KO59F,P 9 BEARMONT RD,3617 BEARMONT RD,
3617,SOUTHRIDGE RD,DUNCANVILLE,35456,,,,,,,350202,00000KO523,PED 8W7 1-2 BEARMONT RD,9020 SOUTHRIDGE RD,
3620,BEAR CREEK RD E,DUNCANVILLE,35456,UNIT,TRAILER,,,,,350202,00000KO3S7,P 15E5 BEARMONT RD,3620 BEAR CREEK RD E UNIT TRAILER,
3620,BEAR CREEK RD E,DUNCANVILLE,35456,,,,,,,350202,00000KO8J1,P 15E5 BEARMONT RD,3620 BEAR CREEK RD E,
3620,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KO5A1,P 10 BEARMONT RD,3620 BEARMONT RD,
3621,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KO4U5,P 10 BEARMONT RD,3621 BEARMONT RD,
3701,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KO7HL,AHN-2 BEARMONT RD LOT 1,3701 BEARMONT RD,
3730,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KO8YM,P 6 1-2 BEARMONT RD,3730 BEARMONT RD,
3731,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KO3U7,AHN-2 BEARMONT RD LOT 1,3731 BEARMONT RD,
3810,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KO6YZ,P 6 1-2 BEARMONT RD,3810 BEARMONT RD,
3812,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00010IZI4C,P 6 BEARMONT RD,3812 BEARMONT RD,
3826,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KO8G5,P 6 BEARMONT RD,3826 BEARMONT RD,
3829,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KOA0E,AHN-2 BEARMONT RD LOT 3,3829 BEARMONT RD,
3840,BEARMONT RD,DUNCANVILLE,35456,,,,,,,350202,00000KO5SL,P 4 1-2 BEARMONT RD,3840 BEARMONT RD,
